HIV1	HIV2	HIV3	HIV4	Cont1	Cont2	Cont3	Cont4
119.14896	71.91915	119.31012	115.0343	137.10852	89.95427	87.14461	134.9199
27.0994	14.43654	113.98713	45.38821	46.54164	32.1329	24.93865	20.42303
1351.6035	857.8982	1013.9568	1124.0258	1427.216	988.2463	1090.0339	1190.4862
132.76974	99.18859	60.7907	131.33751	140.9775	104.36172	48.29007	87.56115
489.77924	384.3957	164.09636	370.07495	382.58957	317.4638	161.0044	360.31244
30.32812	15.02634	38.97729	70.09556	29.97263	34.07832	1.87478	16.31286
151.52745	45.86407	67.15892	60.69359	134.44193	42.76265	38.70675	48.34794
284.15884	216.80795	250.66623	262.51605	343.05713	262.2727	148.38812	233.47267
534.5344	380.72855	234.83577	386.62625	555.8719	403.66238	336.33325	504.33035
7313.5757	6223.7495	3329.9785	6116.866	10303.31	9188.446	5576.634	9300.02
46.57743	26.44176	24.54524	77.81496	80.41975	65.59171	30.94821	56.12095
422.5114	305.53116	183.79579	422.03757	599.2003	422.1112	225.30342	467.05414
24.73688	14.83911	17.15834	80.7475	36.43578	12.47944	7.01905	22.63679
272.83722	159.78094	90.47385	302.161	377.78513	228.62314	134.79807	378.64706
133.95735	64.93954	43.59795	106.93849	163.52121	90.34228	70.24026	136.23613
188.7383	91.1571	75.31502	185.69037	217.22855	125.48603	94.05888	193.20753
104.10641	57.12796	43.23156	81.37582	116.47752	75.66297	40.07225	90.37268
204.0759	124.72485	107.16184	210.05362	212.50517	157.1447	99.04824	164.0053
975.74066	489.85162	365.0576	639.9521	1402.6733	806.3939	729.62354	1232.0668
1346.1843	635.3453	483.35666	784.08887	792.87067	436.27847	410.8385	690.5879
230.0291	132.8229	134.4838	178.85153	285.74905	158.81895	107.15248	169.21747
81.16946	47.07744	90.05534	79.87714	98.75983	57.43084	49.3463	84.35235
146.26015	64.52989	93.67749	100.31606	166.14087	86.9699	95.0503	163.09827
83.73217	26.28188	90.14862	62.36685	56.4118	33.05386	32.48406	65.02114
35.93626	16.94691	28.32042	47.09059	43.7707	16.54423	15.38392	34.82036
28.83125	11.69696	20.79734	28.31653	41.81023	26.75462	10.85097	29.94601
60.87627	37.20201	38.99516	101.52665	69.89355	39.588	35.72225	61.53106
715.4821	312.36734	305.35785	872.77655	758.2673	391.0984	441.42352	608.77136
31.8533	25.32434	46.24928	581.092	45.89171	21.08507	22.48857	39.01491
213.95059	104.36055	145.44388	373.46228	299.42126	162.22594	170.62283	266.73187
118.32646	77.01889	136.89969	139.0091	151.6487	64.10603	60.46477	113.32571
444.92078	223.97826	217.75533	336.79752	459.56833	251.79413	281.85425	355.24017
34.43948	17.04365	55.28292	92.10379	59.32449	26.04336	19.01078	49.57311
101.17957	61.10217	28.0398	62.03812	123.96991	54.92849	53.47834	52.1865
357.83505	167.13461	160.23596	221.65819	382.64886	183.63649	161.29529	235.57472
